"","myAUC","avg_diff","power","avg_log2FC","pct.1","pct.2","cluster","gene"
"155",0.752,2.49596181296904,0.504,5.92016829359666,0.522,0.023,"6","RNASE1"
"156",0.848,2.15280592689808,0.696,5.81573962782875,0.72,0.046,"17","SERPING1"
"157",0.831,2.70055157942441,0.662,5.80008528772686,0.686,0.034,"17","CLU"
"158",0.706,1.0891556561189,0.412,5.79834792990339,0.422,0.013,"12","KLF5"
"159",0.861,1.80678784150462,0.722,5.75714876957477,0.742,0.039,"16","PLD4"
"160",0.786,1.38196263039824,0.572,5.73191999254613,0.587,0.022,"3","BANK1"
"161",0.726,2.26494398427503,0.452,5.72379429181593,0.472,0.027,"2","THBS1"
"162",0.708,0.932769608693444,0.416,5.71711123813855,0.424,0.009,"17","FBLN5"
"163",0.709,0.956893612863824,0.418,5.71508756755061,0.429,0.014,"7","CCNA2"
"164",0.751,1.16259075917339,0.502,5.71360513820912,0.514,0.014,"16","TPM2"
"165",0.918,2.31737381288446,0.836,5.65087405269195,0.854,0.034,"14","TCL1A"
"166",0.811,1.73614184250284,0.622,5.63969379574323,0.643,0.03,"7","MKI67"
"167",0.705,1.24480032986276,0.41,5.63909166192041,0.423,0.015,"16","PPP1R14A"
"168",0.803,1.83423629694646,0.606,5.55435954555442,0.623,0.023,"2","FCN1"
"169",0.766,1.18014926312492,0.532,5.54274211794926,0.549,0.026,"16","P2RY6"
"170",0.851,1.72435411368059,0.702,5.54134081218845,0.721,0.036,"16","SERPINF1"
"171",0.719,2.21011693012366,0.438,5.50214334394932,0.462,0.029,"8","S100B"
"172",0.842,2.55611654926611,0.684,5.49913308157694,0.711,0.045,"2","EREG"
"173",0.784,1.67289024168244,0.568,5.49076013131195,0.586,0.022,"7","UBE2C"
"174",0.808,3.01388453906568,0.616,5.48814672236619,0.708,0.14,"17","GSN"
"175",0.823,1.12175012322396,0.646,5.482066570468,0.662,0.018,"14","BCL7A"
"176",0.871,3.04749720997288,0.742,5.48059118945399,0.775,0.057,"6","APOC1"
"177",0.735,0.799385434720232,0.47,5.47327940550049,0.483,0.013,"17","EMP2"
"178",0.876,1.58594824722957,0.752,5.44721081388573,0.771,0.034,"17","S100A13"
