"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SHISA51",8.9050461135455e-16,0.290181399019239,0.47,0.344,2.98657436556089e-11,"8","SHISA5"
"FLNA1",9.30269938752743e-16,0.379542423835148,0.4,0.284,3.11993932058895e-11,"8","FLNA"
"COPZ1",1.19924205493211e-15,0.413428413207767,0.288,0.192,4.0220180038313e-11,"8","COPZ1"
"RAB141",1.24843971804381e-15,0.404106631586855,0.267,0.174,4.18701712637533e-11,"8","RAB14"
"PRDX13",1.37059582729482e-15,0.264966154178001,0.546,0.402,4.59670428558136e-11,"8","PRDX1"
"SF3B22",1.39202612271029e-15,0.298045243281957,0.48,0.349,4.66857721034576e-11,"8","SF3B2"
"PARP10",1.41776617973084e-15,0.437091478395337,0.251,0.161,4.75490421358128e-11,"8","PARP10"
"BTN3A21",1.49545842568055e-15,0.302340890095064,0.327,0.221,5.01546846804744e-11,"8","BTN3A2"
"PSAP1",1.63610036729436e-15,0.340682642364995,0.288,0.19,5.48715341183181e-11,"8","PSAP"
"C4orf3",2.29410554785723e-15,0.301190008038926,0.582,0.444,7.69397118640357e-11,"8","C4orf3"
"UBE2K",4.01951208205588e-15,0.450662540008576,0.25,0.163,1.3480639620799e-10,"8","UBE2K"
"RAB2A2",5.41818765164697e-15,0.335362780120463,0.347,0.24,1.81715177460936e-10,"8","RAB2A"
"SELPLG2",6.04765957752743e-15,0.311815158550394,0.352,0.242,2.02826406911115e-10,"8","SELPLG"
"YWHAE2",7.33720185222571e-15,0.364322161487599,0.359,0.252,2.46075075719946e-10,"8","YWHAE"
"SPN1",7.78223699901828e-15,0.418044555842194,0.265,0.175,2.61000664473075e-10,"8","SPN"
"AC243960.1",1.01248551772124e-14,0.258849685838279,0.29,0.192,3.39567392933349e-10,"8","AC243960.1"
"SERPINB12",1.10230260184002e-14,0.401452885787303,0.353,0.251,3.69690246605107e-10,"8","SERPINB1"
"ARPP191",1.16601095146823e-14,0.352052425464333,0.358,0.251,3.91056752903416e-10,"8","ARPP19"
"TADA31",1.23720756879372e-14,0.382109269506023,0.264,0.174,4.14934674422036e-10,"8","TADA3"
"DNAJA2",1.24474301371685e-14,0.321596717175746,0.318,0.218,4.17461911940358e-10,"8","DNAJA2"
"TIMM8B1",1.90668458559281e-14,0.392782317572003,0.286,0.195,6.39463876316115e-10,"8","TIMM8B"
"MIEN12",2.1816397718257e-14,0.297719003814061,0.38,0.268,7.31678346674903e-10,"8","MIEN1"
"MTDH",2.22395358116074e-14,0.334798756099622,0.502,0.381,7.45869552049689e-10,"8","MTDH"
"CLTB2",2.6648960964991e-14,0.328318270419465,0.344,0.24,8.93752852843867e-10,"8","CLTB"
"RHOG1",3.34907635066865e-14,0.259483164661887,0.491,0.369,1.12321322648725e-09,"8","RHOG"
"CHURC11",3.77018433603927e-14,0.305746499771991,0.476,0.355,1.26444442262085e-09,"8","CHURC1"
"CUTA2",3.77966759479671e-14,0.290304655274227,0.538,0.411,1.26762491794292e-09,"8","CUTA"
"HNRNPC1",3.87986919244778e-14,0.301468676034062,0.615,0.48,1.30123052976314e-09,"8","HNRNPC"
"SRRM12",4.18909502724607e-14,0.251942285893634,0.553,0.414,1.40493869023779e-09,"8","SRRM1"
"FGFR1OP22",4.2931359760881e-14,0.340655456978146,0.391,0.281,1.43983194366043e-09,"8","FGFR1OP2"
"RNF1811",5.43821226237961e-14,0.299485676207941,0.365,0.258,1.82386762855687e-09,"8","RNF181"
"PRDX31",5.71652941581509e-14,0.275060742590917,0.362,0.252,1.91720963547607e-09,"8","PRDX3"
"FKBP52",5.74619263432989e-14,0.335020695637937,0.299,0.204,1.92715808570156e-09,"8","FKBP5"
"WASF2",9.63291002168278e-14,0.409102795513259,0.268,0.181,3.23068536307197e-09,"8","WASF2"
"CKLF2",9.88162444778151e-14,0.262142417002436,0.599,0.461,3.31409920729696e-09,"8","CKLF"
"PRDX23",1.10048260001609e-13,0.320270635724694,0.407,0.294,3.69079854393395e-09,"8","PRDX2"
"AZIN1",1.24505666102623e-13,0.368047204073167,0.261,0.175,4.17567102974979e-09,"8","AZIN1"
