"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"VGLL3",1.80302096200457e-07,0.336338001970391,0.488,0.401,0.00604697170237092,"0","VGLL3"
"NFYB",1.8122602496783e-07,0.251041199370827,0.398,0.319,0.0060779584253711,"0","NFYB"
"UHRF1BP1L",1.81644765450121e-07,0.462777730235026,0.305,0.233,0.00609200214366617,"0","UHRF1BP1L"
"STK38",1.90289213088073e-07,0.269631342173263,0.337,0.262,0.0063819196285478,"0","STK38"
"SWI5",1.99669006726755e-07,0.336271873956793,0.379,0.297,0.0066964991476019,"0","SWI5"
"G2E3",2.04058812611904e-07,0.379047608186193,0.268,0.199,0.00684372445737804,"0","G2E3"
"MFSD1",2.07546695047542e-07,0.311726770876662,0.339,0.266,0.00696070105850448,"0","MFSD1"
"UBN2",2.07589855777027e-07,0.308991130618466,0.265,0.194,0.00696214858304994,"0","UBN2"
"RASSF8-AS1",2.08710093362165e-07,0.31753710412773,0.295,0.221,0.0069997191111803,"0","RASSF8-AS1"
"AHCY",2.47479475986784e-07,0.408586651750082,0.258,0.191,0.00829996666564477,"0","AHCY"
"TM7SF3",2.50429260755171e-07,0.269162001740131,0.305,0.23,0.00839889654720691,"0","TM7SF3"
"TMEM214",2.53082879190228e-07,0.33552605622398,0.375,0.303,0.00848789360228187,"0","TMEM214"
"TMEM222",2.63856102728336e-07,0.494584798679715,0.324,0.255,0.00884920597330293,"0","TMEM222"
"ZNF830",2.75385109945445e-07,0.263491034565419,0.319,0.248,0.00923586581735032,"0","ZNF830"
"B4GALT4",2.75781610382076e-07,0.526749866641615,0.261,0.193,0.00924916364899406,"0","B4GALT4"
"UIMC1",2.79122094314329e-07,0.287604642660018,0.258,0.188,0.00936119679911398,"0","UIMC1"
"FAM76B",2.93085705090252e-07,0.317312516088433,0.261,0.191,0.00982950837731686,"0","FAM76B"
"AKT2",3.33801614237253e-07,0.256878953600114,0.404,0.326,0.011195038538289,"0","AKT2"
"GTF2A1",3.58207044765939e-07,0.36662548777772,0.324,0.252,0.01201354786736,"0","GTF2A1"
"SCAMP1",4.16825165851778e-07,0.442118537383421,0.356,0.287,0.0139794824123369,"0","SCAMP1"
"CCNT1",4.29123793471331e-07,0.339975779543971,0.28,0.208,0.0143919537854415,"0","CCNT1"
"CC2D2A",4.41792256127014e-07,0.272102689086523,0.299,0.223,0.0148168286859878,"0","CC2D2A"
"ZFX",4.4345624176024e-07,0.266182819834764,0.306,0.236,0.0148726354361549,"0","ZFX"
"MTAP",4.43968508602232e-07,0.373849040484518,0.28,0.212,0.0148898158415017,"0","MTAP"
"RING1",4.79026226634075e-07,0.272384161697629,0.328,0.261,0.0160655815888536,"0","RING1"
"KATNA1",4.82232996811515e-07,0.383623976237907,0.286,0.221,0.0161731302470646,"0","KATNA1"
"RARA",5.00608990716645e-07,0.336069302702215,0.298,0.228,0.0167894243306548,"0","RARA"
"C21orf2",6.32380801377309e-07,0.279753129533116,0.299,0.23,0.0212087873165922,"0","C21orf2"
"MGA",6.37641676766407e-07,0.367555884180342,0.259,0.189,0.0213852265553917,"0","MGA"
"LARP4",6.42496512185705e-07,0.361002029046658,0.362,0.291,0.0215480480256842,"0","LARP4"
"ACAA1",6.59447156973971e-07,0.257303760517174,0.36,0.29,0.022116538750593,"0","ACAA1"
"SF3A2",7.20016964088825e-07,0.421217843268542,0.26,0.196,0.024147928941611,"0","SF3A2"
"NUS1",7.20377563154129e-07,0.380689174079129,0.289,0.222,0.0241600227130632,"0","NUS1"
"NTMT1",7.57478187600532e-07,0.262963460265624,0.359,0.286,0.0254043034557466,"0","NTMT1"
"RNASEH1",7.95751439532573e-07,0.336632487822778,0.283,0.218,0.0266879117790434,"0","RNASEH1"
"GPALPP1",8.04378690894916e-07,0.395169947561014,0.274,0.206,0.0269772525352337,"0","GPALPP1"
"CWC27",8.32706793146137e-07,0.343687048862432,0.295,0.231,0.0279273204285351,"0","CWC27"
"CEP57",8.8369761946671e-07,0.273000803856757,0.36,0.286,0.0296374507616745,"0","CEP57"
"CHCHD3",9.12269894370203e-07,0.278111317023888,0.367,0.301,0.0305957077173879,"0","CHCHD3"
"SFXN1",9.19717378991621e-07,0.365203914371607,0.266,0.199,0.030845481456621,"0","SFXN1"
"ADIPOR1",9.29767796321261e-07,0.288642826786048,0.335,0.27,0.0311825523530225,"0","ADIPOR1"
"PPP3CB",9.62897469893686e-07,0.294469107409466,0.382,0.313,0.0322936553452944,"0","PPP3CB"
"GOLGA5",9.8054536088812e-07,0.337465067278053,0.299,0.233,0.0328855303134658,"0","GOLGA5"
"CLCC1",1.00694498098576e-06,0.336866185142089,0.256,0.19,0.0337709207723005,"0","CLCC1"
"BCCIP",1.04851186260494e-06,0.256397962640987,0.294,0.225,0.0351649908480445,"0","BCCIP"
"SUZ12",1.1712240851945e-06,0.280578727215054,0.394,0.326,0.0392805133692531,"0","SUZ12"
"MBD5",1.20406907087312e-06,0.277261159586638,0.262,0.196,0.0403820684989428,"0","MBD5"
"TFE3",1.23510614809295e-06,0.446237027074386,0.286,0.218,0.0414229899947414,"0","TFE3"
"TIMM44",1.23632601104993e-06,0.293101052465469,0.346,0.274,0.0414639017585926,"0","TIMM44"
"IFT27",1.24060053699545e-06,0.52275640860343,0.275,0.212,0.0416072608097534,"0","IFT27"
"TNFAIP8L3",1.29717825163074e-06,0.394463789068554,0.253,0.178,0.0435047642031917,"0","TNFAIP8L3"
"TNKS",1.33192603308268e-06,0.356292741679552,0.263,0.199,0.0446701352975268,"0","TNKS"
"STAMBP",1.36278053435751e-06,0.325056591885283,0.294,0.228,0.0457049335612823,"0","STAMBP"
"CYP4B1",1.81705720127121e-198,3.12065870254399,0.658,0.143,6.09404644162339e-194,"1","CYP4B1"
"PLA2G2A",2.41260988148811e-192,3.1341658342494,0.68,0.15,8.09141102053481e-188,"1","PLA2G2A"
"GPRC5A",9.40521370686054e-182,2.76450306589415,0.757,0.237,3.15432057300689e-177,"1","GPRC5A"
"UAP1",3.87919055555766e-165,1.9914845820453,0.942,0.551,1.30100292852293e-160,"1","UAP1"
"WISP2",7.32072368037149e-165,2.67937512725068,0.697,0.197,2.45522430792299e-160,"1","WISP2"
"CFD",2.44631415218796e-164,1.71297559301167,0.962,0.554,8.20444840360797e-160,"1","CFD"
"MEDAG",9.6974519749806e-145,1.97071922141025,0.815,0.323,3.25233144336899e-140,"1","MEDAG"
"CHRDL1",7.00992237603648e-139,1.62813932931352,0.88,0.424,2.35098776647511e-134,"1","CHRDL1"
"NNMT",3.09683847100312e-138,1.60018414821961,0.974,0.711,1.03861768640503e-133,"1","NNMT"
"HAS1",5.005732454931e-138,3.72055816218353,0.414,0.065,1.67882255073476e-133,"1","HAS1"
"MYC",5.30388453295533e-133,1.7039803940842,0.875,0.456,1.77881679466256e-128,"1","MYC"
"IGFBP6",2.57897406554957e-132,1.40471049661834,0.983,0.734,8.64936322104013e-128,"1","IGFBP6"
"SLPI",4.75481136849644e-132,1.41327816070231,0.683,0.197,1.59466863676634e-127,"1","SLPI"
"USP53",1.60192791550097e-121,1.60070261393391,0.898,0.51,5.37254584300714e-117,"1","USP53"
"RAMP2",3.09389556374887e-119,1.96612179251047,0.675,0.236,1.0376306941701e-114,"1","RAMP2"
"ITGBL1",6.97949653152436e-119,1.51496876805879,0.852,0.412,2.34078354674264e-114,"1","ITGBL1"
"MFAP5",2.50148533034626e-117,1.08616960196584,0.917,0.459,8.38948150091528e-113,"1","MFAP5"
"PCOLCE2",2.56287343753027e-114,1.41593285223808,0.883,0.437,8.59536493478902e-110,"1","PCOLCE2"
"MT1X",1.79148901194205e-112,2.13338355747387,0.868,0.53,6.00829584825124e-108,"1","MT1X"
"MT2A",1.14561674412262e-111,1.62806694118709,0.96,0.761,3.84216943643846e-107,"1","MT2A"
"ACKR3",7.77829276224169e-111,1.70847068180127,0.806,0.384,2.60868382660062e-106,"1","ACKR3"
"UGDH",5.44026968821387e-107,1.69820679031491,0.838,0.501,1.82455764803317e-102,"1","UGDH"
"SCARA5",3.75300948625248e-105,1.2305985831606,0.88,0.434,1.25868432149936e-100,"1","SCARA5"
"C1R",6.83094976242424e-101,0.935670820296018,0.992,0.791,2.29096393132184e-96,"1","C1R"
"GALNT15",1.46885972148752e-100,1.41386711798578,0.565,0.163,4.92626173392485e-96,"1","GALNT15"
"MFAP41",1.23419614896749e-99,1.21508659773403,0.96,0.748,4.13924704440718e-95,"1","MFAP4"
