"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"TM9SF3",1.70443141352895e-39,0.305420126520969,0.124,0.389,5.71632207469338e-35,"1","TM9SF3"
"DPP7",2.30288848134452e-39,0.371706327243273,0.133,0.408,7.72342738873323e-35,"1","DPP7"
"EIF4E",2.50254326472153e-39,0.404371170239554,0.069,0.287,8.39302960122308e-35,"1","EIF4E"
"EIF5B",2.58829230877515e-39,0.271469039135533,0.186,0.506,8.68061474517011e-35,"1","EIF5B"
"BBX",4.55517285691138e-39,0.331684536763058,0.144,0.426,1.52771387275094e-34,"1","BBX"
"ADAR",6.87252862173837e-39,0.395776081583098,0.161,0.459,2.30490864915862e-34,"1","ADAR"
"GRK2",7.93941385757255e-39,0.451750732125641,0.13,0.401,2.66272061955268e-34,"1","GRK2"
"TAPBP",8.48354656589117e-39,0.29963587054799,0.201,0.536,2.84521184726858e-34,"1","TAPBP"
"SNHG121",3.16411205078445e-38,0.452513875407498,0.138,0.412,1.06117989959209e-33,"1","SNHG12"
"RSF1",4.16782252108954e-38,0.354856202952795,0.164,0.46,1.39780431712301e-33,"1","RSF1"
"PPP4R3B",1.15523745414452e-37,0.292698146908783,0.095,0.328,3.87443537370988e-33,"1","PPP4R3B"
"DDX211",1.93907292674365e-37,0.310934055202899,0.249,0.612,6.50326278171286e-33,"1","DDX21"
"RSBN1L",2.08796420075938e-37,0.431917166862083,0.178,0.489,7.00261433650681e-33,"1","RSBN1L"
"MARCH7",6.40340716055886e-37,0.283706232653422,0.108,0.352,2.14757469350823e-32,"1","MARCH7"
"ZC3H13",1.15848777425437e-36,0.301302160820518,0.132,0.391,3.8853362972943e-32,"1","ZC3H13"
"ATG12",1.54337575332111e-36,0.338415943823523,0.124,0.378,5.17617360148833e-32,"1","ATG12"
"USP47",1.65808218718002e-36,0.260110303771282,0.095,0.324,5.56087603936436e-32,"1","USP47"
"PDCD7",2.24997533064833e-36,0.27427019291649,0.101,0.334,7.54596726392836e-32,"1","PDCD7"
"RNF145",2.25517602769872e-36,0.383236496573124,0.136,0.4,7.56340936169596e-32,"1","RNF145"
"SP100",2.31400937370787e-36,0.286278984456903,0.253,0.62,7.76072463754146e-32,"1","SP100"
"BRD4",3.96398723134348e-36,0.47156379788646,0.174,0.471,1.32944203764798e-31,"1","BRD4"
"KTN1",5.25421674347144e-36,0.272011236229213,0.238,0.59,1.76215921142545e-31,"1","KTN1"
"CCAR1",7.50399448334315e-36,0.302531431083025,0.108,0.345,2.51668966982363e-31,"1","CCAR1"
"PPM1K",1.20185135767678e-35,0.365392794021802,0.134,0.392,4.03076908337639e-31,"1","PPM1K"
"CEBPZ1",1.36945552394352e-35,0.426724650965647,0.179,0.478,4.59287993620176e-31,"1","CEBPZ"
"HNRNPUL1",1.84468309117627e-35,0.391308767819341,0.198,0.513,6.18669815118699e-31,"1","HNRNPUL1"
"RB1CC1",2.16841147533021e-35,0.348412058792133,0.119,0.364,7.27241840596244e-31,"1","RB1CC1"
"LARS",2.28928128994557e-35,0.319382367120163,0.067,0.267,7.67779159021944e-31,"1","LARS"
"HNRNPL",2.51456843795063e-35,0.438280899836402,0.136,0.396,8.43335962719881e-31,"1","HNRNPL"
"OPTN",2.63191201908929e-35,0.29104511812641,0.144,0.408,8.82690652962167e-31,"1","OPTN"
"ATP2B1",3.43515140169668e-35,0.268308325032025,0.146,0.411,1.15208107710103e-30,"1","ATP2B1"
"PHF201",6.60244733281575e-35,0.385292286553068,0.138,0.397,2.21432878647975e-30,"1","PHF20"
"CYFIP2",9.87743758328687e-35,0.395760270424113,0.109,0.343,3.31269501668275e-30,"1","CYFIP2"
"SMARCA5",1.13548172598244e-34,0.452601238192356,0.201,0.517,3.80817861259991e-30,"1","SMARCA5"
"PGP",2.24695885796042e-34,0.405626388961547,0.085,0.297,7.53585061782766e-30,"1","PGP"
"ZNF622",2.4213213922956e-34,0.260641777899315,0.078,0.283,8.12062768548097e-30,"1","ZNF622"
"TRABD",4.22400031139072e-34,0.463939968828469,0.111,0.344,1.41664522443422e-29,"1","TRABD"
"CCNK",4.80247047514201e-34,0.333501379042253,0.072,0.271,1.61065254795313e-29,"1","CCNK"
"USP31",4.86194298353779e-34,0.336055225708495,0.115,0.352,1.6305984378189e-29,"1","USP3"
"USP22",8.0534086733791e-34,0.306942725236491,0.061,0.25,2.70095220087788e-29,"1","USP22"
"ABCF1",9.58802964420157e-34,0.376826588135328,0.123,0.364,3.21563338207232e-29,"1","ABCF1"
"ZNF106",1.02541501581184e-33,0.270799282802489,0.088,0.298,3.43903688002974e-29,"1","ZNF106"
"IRF2BP21",1.14231315615445e-33,0.334334848189657,0.113,0.345,3.83108986311078e-29,"1","IRF2BP2"
"REST",1.2608975023757e-33,0.355039591039566,0.118,0.354,4.22879804346763e-29,"1","REST"
"MRPS5",1.26582157388614e-33,0.290935645406299,0.076,0.277,4.24531239449934e-29,"1","MRPS5"
"UBTF",1.44745720433074e-33,0.271522784464167,0.093,0.307,4.85448197188445e-29,"1","UBTF"
"TOP2B",1.92305941543393e-33,0.421824778830281,0.085,0.293,6.44955666748232e-29,"1","TOP2B"
"SRSF4",3.24617351308288e-33,0.40416293722966,0.16,0.431,1.08870167281774e-28,"1","SRSF4"
"EIF3B",5.69934023189584e-33,0.362594757209218,0.064,0.252,1.91144472697323e-28,"1","EIF3B"
"IDS1",7.28537741763477e-33,0.307782990407279,0.233,0.564,2.44336987832635e-28,"1","IDS"
"RNF115",7.39414310224482e-33,0.286535101643895,0.076,0.274,2.47984771363087e-28,"1","RNF115"
"UGP2",9.41973402774525e-33,0.317276212131637,0.243,0.57,3.1591903982252e-28,"1","UGP2"
"CTNNB1",1.32105222167131e-32,0.305408634374882,0.102,0.32,4.43054494104123e-28,"1","CTNNB1"
"TGS1",1.76438059818623e-32,0.274444098355874,0.085,0.289,5.91737965019697e-28,"1","TGS1"
"DIAPH1",1.97680166022878e-32,0.443764316605254,0.168,0.444,6.62979740807527e-28,"1","DIAPH1"
"RBBP6",1.99945286494817e-32,0.601537262687126,0.178,0.46,6.70576501846318e-28,"1","RBBP6"
"PIP4K2A",2.51112231373025e-32,0.386748006574043,0.159,0.425,8.42180201578851e-28,"1","PIP4K2A"
"PBRM1",2.72258158020247e-32,0.330553127636938,0.095,0.306,9.13099410368306e-28,"1","PBRM1"
"RPS6KA3",2.81842793372251e-32,0.253235062350904,0.129,0.368,9.45244360411856e-28,"1","RPS6KA3"
"FOXN3",3.51372019756456e-32,0.392182349343177,0.083,0.284,1.1784314798592e-27,"1","FOXN3"
"MTERF4",3.59642215010237e-32,0.322206850740422,0.07,0.26,1.20616806070133e-27,"1","MTERF4"
"KLF13",3.83859116831702e-32,0.381183041084925,0.153,0.413,1.28738670603016e-27,"1","KLF13"
"WDR82",4.06611312071192e-32,0.563692358749296,0.138,0.386,1.36369301842436e-27,"1","WDR82"
"TERF1",5.26903337942161e-32,0.308530788408111,0.071,0.262,1.76712841479042e-27,"1","TERF1"
"FAM102A",5.72242388510951e-32,0.407009310460566,0.125,0.359,1.91918652258803e-27,"1","FAM102A"
"RNF10",7.16912350449143e-32,0.585090782905556,0.083,0.283,2.40438064093634e-27,"1","RNF10"
"TAOK3",8.20212539032349e-32,0.365975686923809,0.148,0.403,2.75082881340669e-27,"1","TAOK3"
"NOP56",1.20554665733198e-31,0.545253003323556,0.181,0.464,4.04316237936001e-27,"1","NOP56"
