"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"GZMK",0,2.98867283627475,0.831,0.145,0,"0","GZMK"
"ITM2C",5.58984426798977e-198,2.61540880459217,0.561,0.129,1.56426201995426e-193,"0","ITM2C"
"CST7",4.19167679487311e-190,1.41343236487909,0.947,0.604,1.17299883427729e-185,"0","CST7"
"CCL4",1.42533528356139e-168,1.95749167178503,0.87,0.413,3.9886582575182e-164,"0","CCL4"
"RPS15A",3.7919225863144e-162,0.729966255186049,0.997,0.899,1.06113161655422e-157,"0","RPS15A"
"HLA-C",2.64599570872632e-148,0.742126402744954,0.999,0.894,7.40455439129974e-144,"0","HLA-C"
"NKG7",3.71072114518716e-146,1.18899264993543,0.928,0.491,1.03840820526918e-141,"0","NKG7"
"RPL23A",1.28436741691162e-135,0.829506859481427,0.988,0.848,3.59417377948548e-131,"0","RPL23A"
"APOBEC3G",1.56731644684309e-130,1.69356736162068,0.694,0.307,4.38597834484569e-126,"0","APOBEC3G"
"TUBA4A",6.83283280116972e-119,1.89463400794648,0.625,0.269,1.91209993107933e-114,"0","TUBA4A"
"CXCR4",7.08880868967489e-119,1.05240696628746,0.934,0.641,1.98373222371862e-114,"0","CXCR4"
"RPS4X",2.08179112094126e-117,0.727644126316387,0.989,0.881,5.82568427284201e-113,"0","RPS4X"
"RPS3",1.61126551478901e-115,0.629799286880813,0.992,0.889,4.50896541658556e-111,"0","RPS3"
"RPS27",6.12041061701176e-114,0.592435487170371,0.997,0.907,1.71273570706457e-109,"0","RPS27"
"GZMH",7.86132747694434e-114,1.35893841673817,0.737,0.352,2.1999138811481e-109,"0","GZMH"
"RPL28",3.01740770886207e-107,0.534573085426231,1,0.908,8.44391373247962e-103,"0","RPL28"
"COTL1",6.6647942244863e-105,1.13931465961416,0.867,0.588,1.86507601578025e-100,"0","COTL1"
"CCL5",4.60373151658674e-104,0.84608633826137,0.988,0.576,1.28830822760163e-99,"0","CCL5"
"DUSP2",9.51879400414218e-97,1.00262629186477,0.894,0.638,2.66373931411915e-92,"0","DUSP2"
"CCL4L2",1.66364663710755e-95,2.35414119604904,0.537,0.214,4.65554874928178e-91,"0","CCL4L2"
"LYAR",3.14827839339091e-95,2.00136675671846,0.391,0.114,8.81014225606511e-91,"0","LYAR"
"GZMA",7.90848967763964e-89,0.730769551927767,0.913,0.504,2.21311175139068e-84,"0","GZMA"
"CD74",7.48073297218733e-88,0.690331191570452,0.97,0.837,2.0934083149369e-83,"0","CD74"
"RPS14",2.94961566982358e-87,0.512216152816181,0.998,0.896,8.2542044904343e-83,"0","RPS14"
"RPL7A",3.87013285090502e-85,0.542629113483152,0.992,0.883,1.08301797699726e-80,"0","RPL7A"
"GZMM",7.761325085652e-85,1.30662148123233,0.676,0.368,2.17192921196885e-80,"0","GZMM"
"HLA-B",6.48966811751641e-77,0.476329401819285,0.997,0.903,1.81606872600579e-72,"0","HLA-B"
"RPS7",1.57416458780584e-76,0.494481204915241,0.997,0.897,4.40514218251587e-72,"0","RPS7"
"CD8A",1.19143484200542e-75,1.08794756906176,0.713,0.402,3.33411126186796e-71,"0","CD8A"
"RPS24",1.42918154403581e-75,0.513654750970924,0.997,0.894,3.99942163282981e-71,"0","RPS24"
"RPS25",6.06911030311375e-75,0.525539879985686,0.993,0.871,1.69837982722335e-70,"0","RPS25"
"RPS2",4.98267528664524e-71,0.559037180718294,0.981,0.869,1.3943518522148e-66,"0","RPS2"
"RPL41",9.54306974453103e-68,0.403265093016471,1,0.939,2.67053263730956e-63,"0","RPL41"
"GIMAP4",1.67826133444033e-67,1.40679789653867,0.475,0.204,4.69644651829782e-63,"0","GIMAP4"
"RPS12",7.66853231331373e-67,0.419140221048697,1,0.91,2.14596208255771e-62,"0","RPS12"
"AOAH",1.80165647475253e-66,1.80022928072124,0.288,0.081,5.04175547894747e-62,"0","AOAH"
"HLA-DRB5",1.99575484165402e-66,0.864293015103747,0.848,0.593,5.5849203488846e-62,"0","HLA-DRB5"
"HLA-DPB1",3.71149407329118e-66,0.842615996734506,0.811,0.552,1.0386245014698e-61,"0","HLA-DPB1"
"RGCC",2.25401663449064e-64,0.958499976350816,0.79,0.527,6.3076401499586e-60,"0","RGCC"
"MATK",4.45872394805297e-64,1.91504167360075,0.263,0.071,1.24772930962314e-59,"0","MATK"
"RPS29",7.74376853542082e-64,0.584338157772084,0.966,0.827,2.16701618695216e-59,"0","RPS29"
"RPL10",8.01920591771047e-62,0.396183012316507,1,0.916,2.2440945840121e-57,"0","RPL10"
"CXCR3",2.3040434796743e-60,1.51332245172427,0.391,0.156,6.44763527352057e-56,"0","CXCR3"
"GLIPR2",6.88102638203538e-60,1.63205447952187,0.34,0.123,1.92558642274878e-55,"0","GLIPR2"
"GYG1",5.19925908847552e-58,1.61754948379859,0.341,0.125,1.45496066331899e-53,"0","GYG1"
"RPL3",1.70612124290094e-57,0.530258271590111,0.957,0.827,4.774409686134e-53,"0","RPL3"
"HLA-DPA1",1.05122449790775e-56,0.789208302103388,0.82,0.583,2.94174663494506e-52,"0","HLA-DPA1"
"PIK3R1",2.92319651940131e-56,1.16256538928117,0.528,0.269,8.18027313989262e-52,"0","PIK3R1"
"LDHA",4.92692263555695e-56,0.910038345989165,0.76,0.536,1.37875003033426e-51,"0","LDHA"
"HLA-DRA",5.50575771138588e-55,0.857258459293594,0.693,0.449,1.54073123795422e-50,"0","HLA-DRA"
"RPLP2",5.92733252631267e-55,0.441396914702336,0.991,0.877,1.65870473416334e-50,"0","RPLP2"
"TMSB4X",5.68872347882718e-54,0.418515525576003,0.998,0.902,1.591932378315e-49,"0","TMSB4X"
"RPL35A",6.80610833288071e-54,0.416060410290249,0.991,0.895,1.90462135587334e-49,"0","RPL35A"
"ANXA1",2.78149351011563e-53,0.600832695651649,0.772,0.458,7.78373143870757e-49,"0","ANXA1"
"CD8B",6.9759368117859e-53,0.956133967404681,0.627,0.353,1.95214615741017e-48,"0","CD8B"
"HCST",1.20261565262478e-52,0.643942979708313,0.879,0.649,3.36539964230517e-48,"0","HCST"
"RPL13A",3.90349813672847e-52,0.605403298488689,0.918,0.768,1.09235491858209e-47,"0","RPL13A"
"RPL30",3.76200214667149e-51,0.36400059600007,0.998,0.909,1.05275868072455e-46,"0","RPL30"
"CORO1A",4.65972285356291e-49,0.665285818401065,0.888,0.702,1.30397684334104e-44,"0","CORO1A"
"RPS19",1.04161256291867e-48,0.467420686840526,0.992,0.904,2.91484859607161e-44,"0","RPS19"
"LITAF",1.16409732905709e-45,1.05385402650684,0.582,0.369,3.25760996563337e-41,"0","LITAF"
"RPL26",2.19642993155868e-45,0.433970507677384,0.982,0.861,6.1464895204738e-41,"0","RPL26"
"SH2D1A",2.28192151642377e-45,1.30121563613174,0.434,0.22,6.38572917156029e-41,"0","SH2D1A"
"RPS3A",2.59119863046036e-45,0.366712380217482,0.981,0.867,7.25121024748028e-41,"0","RPS3A"
"MYADM",5.13311271593719e-45,0.971862817096584,0.564,0.312,1.43645026242786e-40,"0","MYADM"
"NFATC2",5.35134671373643e-45,1.27125023585177,0.358,0.157,1.497520864372e-40,"0","NFATC2"
"CMC1",5.7767779512851e-44,1.61897845348032,0.319,0.138,1.61657354188762e-39,"0","CMC1"
"CD99",2.10399837677191e-42,0.650124272534855,0.819,0.619,5.88782905755852e-38,"0","CD99"
"RPL13",5.66172612246505e-42,0.366752369004289,0.993,0.905,1.58437743811062e-37,"0","RPL13"
"RPS28",5.78863918940229e-42,0.345349713644812,0.993,0.903,1.61989279076234e-37,"0","RPS28"
"C12orf75",2.27512895740019e-41,1.07445713226984,0.449,0.232,6.36672087438868e-37,"0","C12orf75"
"RPS15",3.66616941567864e-41,0.362121551985342,0.998,0.895,1.02594084928351e-36,"0","RPS15"
"CD52",5.81561339521471e-41,0.579933310687056,0.908,0.757,1.62744125251689e-36,"0","CD52"
"LIME1",9.38388476425433e-39,1.11072853267627,0.371,0.176,2.62598631242893e-34,"0","LIME1"
"RPL10A",1.0180239726293e-38,0.449924636518011,0.947,0.812,2.84883828500585e-34,"0","RPL10A"
"RPL39",1.5302523709158e-38,0.327462292280121,0.994,0.91,4.28225823477079e-34,"0","RPL39"
"CASP4",5.17793153161003e-38,1.12083341984232,0.408,0.213,1.44899235980575e-33,"0","CASP4"
"RPL36AL",3.15467583323258e-37,0.530937324615935,0.898,0.737,8.82804485171805e-33,"0","RPL36AL"
"FAU",1.43662706627745e-36,0.350942645000379,0.993,0.887,4.02025718227082e-32,"0","FAU"
"RARRES3",2.24117556717063e-36,0.471835805557525,0.858,0.643,6.27170570717029e-32,"0","RARRES3"
"RPL27A",1.1531419274586e-35,0.710657304986068,0.722,0.537,3.22695236980013e-31,"0","RPL27A"
"HLA-DQB1",4.56576591057844e-35,0.896268956446371,0.45,0.248,1.27768393241627e-30,"0","HLA-DQB1"
"GIMAP7",4.93833150458993e-35,0.824759037396664,0.542,0.329,1.38194268824445e-30,"0","GIMAP7"
"NR4A2",1.60708482803623e-34,0.688892310403481,0.685,0.471,4.4972661827766e-30,"0","NR4A2"
"RPS5",6.00460342470355e-34,0.37723530617515,0.957,0.835,1.68032822236904e-29,"0","RPS5"
"CYBA",8.44591322391383e-34,0.45971113604735,0.899,0.754,2.36350435658005e-29,"0","CYBA"
"MYL12B",1.06491724856295e-33,0.522489644985338,0.835,0.671,2.98006442837857e-29,"0","MYL12B"
"TOMM7",1.17170251307538e-33,0.551923110651722,0.838,0.663,3.27889231259014e-29,"0","TOMM7"
"HLA-DRB1",1.59056312403124e-33,0.593318534864966,0.748,0.517,4.45103184628903e-29,"0","HLA-DRB1"
"RPSA",1.83175855968385e-33,0.413736605660402,0.951,0.817,5.12599315341929e-29,"0","RPSA"
"PTPRCAP",4.08077161771075e-33,0.617416514838253,0.792,0.613,1.14196312950018e-28,"0","PTPRCAP"
"RPL27",4.30779727839122e-33,0.469389492844221,0.913,0.749,1.205493990385e-28,"0","RPL27"
"SRGN",4.82573026119457e-33,0.370935670915155,0.972,0.83,1.35043235629269e-28,"0","SRGN"
"RPS23",2.82930825867795e-32,0.29750754690319,0.994,0.895,7.91753623108438e-28,"0","RPS23"
"CLIC1",1.0988881708416e-31,0.51794921453844,0.861,0.711,3.07512865728314e-27,"0","CLIC1"
"MZT2A",2.39793366230336e-31,0.926342682286143,0.467,0.284,6.71037756058973e-27,"0","MZT2A"
"SUB1",2.4711833849125e-31,0.597498555538494,0.781,0.618,6.91535958433915e-27,"0","SUB1"
"IDH2",8.52992966393229e-31,0.916386446889433,0.442,0.26,2.38701551715481e-26,"0","IDH2"
"RPL37A",1.50450796686534e-30,0.384911772551184,0.948,0.83,4.21021509447598e-26,"0","RPL37A"
"HNRNPA1",2.8166676871096e-30,0.477051232222092,0.856,0.692,7.8821628556075e-26,"0","HNRNPA1"
"VIM",4.05832123255564e-30,0.507388728373233,0.897,0.747,1.13568061371837e-25,"0","VIM"
"LCP1",1.44510166432298e-29,0.615795081415331,0.683,0.499,4.04397249744142e-25,"0","LCP1"
"CNN2",6.62265498762862e-29,0.782092250623149,0.497,0.317,1.85328377173799e-24,"0","CNN2"
"PNRC1",8.41384192316898e-29,0.517394667654971,0.839,0.69,2.35452952377961e-24,"0","PNRC1"
"CLEC2B",2.01615584638045e-28,0.503759931170193,0.718,0.494,5.64201052051105e-24,"0","CLEC2B"
"RPL18",6.43363374034975e-28,0.307067508680967,0.99,0.886,1.80038806589948e-23,"0","RPL18"
"ZFP36",1.42342891107746e-27,0.425039810251088,0.885,0.713,3.98332346475915e-23,"0","ZFP36"
"RPL5",2.49530404623908e-27,0.327359833389901,0.962,0.823,6.98285884299544e-23,"0","RPL5"
"RPL36",3.04574262250556e-27,0.314526560152113,0.987,0.883,8.52320615481957e-23,"0","RPL36"
"GZMB",6.55790179597082e-27,0.596822131929811,0.66,0.448,1.83516323858448e-22,"0","GZMB"
"NUCB2",7.61242701714116e-27,1.08625143444807,0.29,0.144,2.13026157647678e-22,"0","NUCB2"
"ITM2A",1.11391848125043e-26,0.609511328864398,0.69,0.519,3.1171894779312e-22,"0","ITM2A"
"RPL18A",1.13652355374922e-26,0.282430718428655,0.989,0.897,3.18044751281181e-22,"0","RPL18A"
"LIMD2",1.75563746793411e-26,0.575209176478579,0.661,0.478,4.91297589026681e-22,"0","LIMD2"
"RPS21",2.25602773332624e-26,0.290993189304285,0.992,0.874,6.31326800894014e-22,"0","RPS21"
"RPL19",3.60595385550906e-26,0.260992810891686,0.991,0.906,1.00909012692566e-21,"0","RPL19"
"RPS27A",5.3043271414869e-26,0.271316777647737,0.996,0.9,1.48436290727369e-21,"0","RPS27A"
"RPL24",6.08226788832955e-26,0.335964717150977,0.971,0.857,1.70206184587014e-21,"0","RPL24"
"FYB1",8.88723268698902e-26,0.480933531944987,0.773,0.589,2.48700319512701e-21,"0","FYB1"
"SLC25A6",1.10517695154661e-25,0.559018994182319,0.713,0.549,3.09272718120805e-21,"0","SLC25A6"
"RPL6",1.49035182610771e-25,0.316736192506174,0.981,0.874,4.17060055017982e-21,"0","RPL6"
"UQCR11",2.73903647220639e-25,0.584837145485142,0.681,0.516,7.66491966382235e-21,"0","UQCR11"
"SLA",3.21572468067989e-25,1.04288458826569,0.406,0.248,8.99888394641461e-21,"0","SLA"
"TNFSF9",4.14614769263967e-25,0.999660506911964,0.309,0.159,1.16025797030829e-20,"0","TNFSF9"
"CD48",5.30840799165909e-25,0.667327587301627,0.586,0.411,1.48550489238588e-20,"0","CD48"
"RACK1",6.05463510787918e-25,0.338187577458304,0.952,0.826,1.69432908858891e-20,"0","RACK1"
"ATP5E",1.19383365000334e-24,0.341086277057442,0.965,0.846,3.34082408616933e-20,"0","ATP5E"
"TRAT1",3.00319206767586e-24,0.991992886251143,0.281,0.141,8.40413268218412e-20,"0","TRAT1"
"EIF3F",1.44288032746839e-23,0.588389665451574,0.641,0.477,4.03775630838755e-19,"0","EIF3F"
"HLA-DQA1",1.61758354526045e-23,0.682716260030119,0.453,0.283,4.52664579305685e-19,"0","HLA-DQA1"
"SRSF7",2.08039582704074e-23,0.447550885138388,0.739,0.577,5.8217796823908e-19,"0","SRSF7"
"HLA-DQA2",3.77829113893233e-23,0.742382140456784,0.38,0.219,1.05731699231882e-18,"0","HLA-DQA2"
"RPS18",4.03734591766793e-23,0.288072796176545,0.983,0.884,1.12981088160019e-18,"0","RPS18"
"REEP5",4.34999561717894e-23,0.719841128609273,0.513,0.351,1.21730277351135e-18,"0","REEP5"
"RPS9",6.84742513943212e-23,0.317844829032204,0.952,0.829,1.91618345101868e-18,"0","RPS9"
"AKNA",8.79312625071309e-23,0.745544229138954,0.395,0.235,2.46066844999955e-18,"0","AKNA"
"EEF1D",1.18243336417356e-22,0.353072204991555,0.936,0.811,3.30892152630329e-18,"0","EEF1D"
"JMJD6",1.40238478971028e-22,0.988402538529656,0.292,0.154,3.92443359552526e-18,"0","JMJD6"
"IFNG",4.36217581874077e-22,0.872615220262496,0.259,0.128,1.22071128111642e-17,"0","IFNG"
"RPL14",6.93467162810748e-22,0.270555418088067,0.989,0.877,1.9405985084096e-17,"0","RPL14"
"RPL36A",1.42494991229536e-21,0.477758407450521,0.674,0.512,3.98757983456734e-17,"0","RPL36A"
